name,code,block,block5,num,stocks
汽车类,880390,T0402,T0402,295,"['000030', '000338', '000550', '000559', '000572', '000581', '000589', '000599', '000625', '000678', '000700', '000757', '000800', '000868', '000887', '000901', '000903', '000913', '000951', '000957', '000980', '000981', '001260', '001278', '001282', '001285', '001311', '001319', '001380', '001696', '002031', '002048', '002085', '002101', '002105', '002126', '002190', '002239', '002283', '002284', '002328', '002355', '002363', '002406', '002434', '002448', '002454', '002472', '002488', '002510', '002516', '002536', '002537', '002547', '002553', '002590', '002592', '002594', '002662', '002664', '002703', '002708', '002715', '002725', '002766', '002806', '002813', '002863', '002870', '002906', '002920', '002921', '002965', '002976', '002984', '003033', '300100', '300176', '300237', '300258', '300304', '300375', '300428', '300432', '300446', '300473', '300507', '300547', '300580', '300585', '300611', '300643', '300652', '300680', '300681', '300694', '300695', '300707', '300733', '300745', '300816', '300825', '300863', '300893', '300912', '300926', '300928', '300969', '300978', '300985', '301000', '301005', '301007', '301020', '301039', '301072', '301119', '301133', '301170', '301173', '301181', '301192', '301215', '301225', '301229', '301233', '301298', '301310', '301322', '301345', '301397', '301398', '301459', '301488', '301499', '301529', '301535', '301539', '301550', '301552', '301560', '301607', '301613', '301656', '600006', '600066', '600081', '600099', '600104', '600148', '600151', '600166', '600178', '600182', '600218', '600303', '600335', '600375', '600386', '600418', '600469', '600480', '600523', '600609', '600626', '600653', '600660', '600676', '600686', '600698', '600699', '600733', '600741', '600742', '600822', '600841', '600933', '600960', '601058', '601127', '601163', '601238', '601279', '601500', '601633', '601689', '601777', '601799', '601965', '601966', '603006', '603009', '603013', '603023', '603035', '603037', '603040', '603048', '603049', '603085', '603089', '603107', '603119', '603121', '603129', '603158', '603161', '603166', '603178', '603179', '603190', '603197', '603201', '603202', '603210', '603211', '603239', '603266', '603286', '603305', '603306', '603319', '603335', '603348', '603358', '603377', '603390', '603409', '603418', '603529', '603586', '603596', '603633', '603655', '603701', '603730', '603758', '603766', '603767', '603768', '603786', '603787', '603788', '603809', '603917', '603922', '603926', '603949', '603950', '603960', '603982', '603997', '605005', '605018', '605068', '605088', '605128', '605133', '605151', '605228', '605255', '605319', '605333', '688021', '688280', '688326', '688339', '688533', '688612', '688667', '688737', '689009', '920000', '920022', '920030', '920058', '920106', '920146', '920195', '920221', '920242', '920270', '920271', '920378', '920418', '920436', '920454', '920533', '920663', '920690', '920833', '920837', '920896', '920906', '920978']"
汽车整车,880391,T040201,T0402,22,"['000550', '000572', '000625', '000800', '000868', '000951', '000957', '002594', '301039', '600006', '600066', '600099', '600104', '600166', '600303', '600375', '600418', '600686', '600733', '601127', '601238', '601633']"
汽车配件,880392,T040202,T0402,251,"['000030', '000338', '000559', '000581', '000589', '000599', '000678', '000700', '000887', '000901', '000903', '000980', '000981', '001260', '001278', '001282', '001285', '001311', '001319', '001380', '002031', '002048', '002085', '002101', '002126', '002190', '002239', '002283', '002284', '002328', '002355', '002363', '002406', '002434', '002448', '002454', '002472', '002488', '002510', '002516', '002536', '002537', '002547', '002553', '002590', '002592', '002662', '002664', '002703', '002708', '002715', '002725', '002766', '002806', '002813', '002863', '002870', '002906', '002920', '002921', '002965', '002976', '002984', '003033', '300100', '300176', '300237', '300258', '300304', '300375', '300428', '300432', '300446', '300473', '300507', '300547', '300580', '300585', '300611', '300643', '300652', '300680', '300681', '300694', '300695', '300707', '300733', '300745', '300816', '300863', '300893', '300912', '300926', '300928', '300969', '300978', '300985', '301000', '301005', '301007', '301020', '301072', '301119', '301133', '301170', '301173', '301181', '301192', '301225', '301229', '301233', '301298', '301310', '301397', '301398', '301459', '301488', '301499', '301529', '301535', '301539', '301550', '301552', '301560', '301607', '301613', '301656', '600081', '600148', '600151', '600178', '600182', '600218', '600469', '600480', '600523', '600609', '600626', '600660', '600676', '600698', '600699', '600741', '600742', '600841', '600933', '600960', '601058', '601163', '601279', '601500', '601689', '601799', '601966', '603006', '603009', '603013', '603023', '603035', '603037', '603040', '603048', '603049', '603085', '603089', '603107', '603119', '603121', '603158', '603161', '603166', '603178', '603179', '603190', '603197', '603201', '603202', '603210', '603211', '603239', '603266', '603286', '603305', '603306', '603319', '603335', '603348', '603358', '603390', '603409', '603418', '603586', '603596', '603633', '603655', '603701', '603730', '603758', '603767', '603768', '603786', '603788', '603809', '603917', '603922', '603926', '603949', '603950', '603960', '603982', '603997', '605005', '605018', '605068', '605088', '605128', '605133', '605151', '605228', '605255', '605319', '605333', '688021', '688280', '688326', '688339', '688533', '688612', '688667', '688737', '920000', '920022', '920106', '920146', '920195', '920221', '920242', '920270', '920271', '920378', '920418', '920436', '920454', '920533', '920663', '920690', '920833', '920837', '920896', '920906', '920978']"
汽车服务,880393,T040203,T0402,10,"['000757', '300825', '301215', '600335', '600386', '600653', '600822', '601965', '603377', '920030']"
摩托车,880394,T040204,T0402,12,"['000913', '001696', '002105', '301322', '301345', '601777', '603129', '603529', '603766', '603787', '689009', '920058']"
医疗保健,880398,T0403,T0403,175,"['000504', '000516', '000615', '000710', '002022', '002030', '002044', '002172', '002173', '002219', '002223', '002382', '002432', '002524', '002551', '002622', '002626', '002901', '002932', '002950', '300003', '300015', '300030', '300049', '300143', '300171', '300206', '300238', '300244', '300246', '300247', '300289', '300298', '300314', '300318', '300326', '300347', '300358', '300396', '300404', '300406', '300412', '300439', '300453', '300463', '300482', '300529', '300562', '300595', '300633', '300639', '300642', '300653', '300676', '300677', '300685', '300753', '300760', '300791', '300813', '300832', '300869', '300888', '300896', '300942', '300962', '300981', '301033', '301060', '301087', '301093', '301096', '301097', '301103', '301122', '301234', '301235', '301239', '301257', '301267', '301290', '301293', '301333', '301363', '301367', '301515', '301580', '301602', '600055', '600327', '600381', '600529', '600530', '600568', '600587', '600645', '600763', '600807', '603014', '603102', '603127', '603205', '603222', '603301', '603309', '603387', '603456', '603658', '603880', '603882', '603976', '603987', '605369', '688013', '688016', '688026', '688029', '688050', '688067', '688068', '688075', '688085', '688108', '688114', '688139', '688151', '688161', '688193', '688198', '688202', '688212', '688217', '688236', '688238', '688253', '688265', '688271', '688273', '688277', '688289', '688298', '688301', '688310', '688314', '688315', '688317', '688338', '688351', '688358', '688363', '688366', '688389', '688393', '688399', '688410', '688468', '688575', '688576', '688580', '688581', '688606', '688607', '688613', '688617', '688621', '688626', '688656', '688677', '688767', '920278', '920300', '920504', '920925', '920982', '920992']"
家居用品,880399,T0404,T0404,71,"['000910', '001211', '001216', '001221', '001238', '001322', '001323', '001386', '002084', '002489', '002571', '002572', '002615', '002631', '002790', '002798', '002853', '003011', '300163', '300616', '300640', '300729', '300749', '300993', '301004', '301055', '301061', '301113', '301193', '301227', '301336', '301356', '301376', '301575', '301588', '600337', '601996', '603008', '603021', '603038', '603091', '603180', '603208', '603216', '603221', '603226', '603272', '603313', '603326', '603385', '603389', '603408', '603551', '603600', '603610', '603615', '603661', '603709', '603801', '603816', '603818', '603833', '603838', '603848', '603898', '603992', '605155', '605268', '920132', '920445', '920765']"
医药,880400,T0405,T0405,298,"['000153', '000403', '000423', '000513', '000518', '000534', '000538', '000566', '000590', '000597', '000623', '000650', '000661', '000739', '000756', '000766', '000788', '000790', '000813', '000908', '000915', '000919', '000931', '000952', '000953', '000963', '000989', '000999', '001367', '002001', '002007', '002019', '002020', '002038', '002082', '002099', '002102', '002107', '002166', '002198', '002252', '002262', '002275', '002287', '002294', '002317', '002332', '002349', '002365', '002370', '002393', '002399', '002412', '002422', '002424', '002437', '002550', '002562', '002566', '002581', '002603', '002644', '002653', '002675', '002693', '002728', '002737', '002755', '002773', '002793', '002817', '002821', '002826', '002864', '002873', '002880', '002898', '002900', '002907', '002923', '002940', '003020', '300006', '300009', '300016', '300026', '300039', '300086', '300110', '300111', '300122', '300142', '300147', '300149', '300158', '300181', '300194', '300199', '300204', '300233', '300239', '300254', '300255', '300267', '300294', '300357', '300363', '300381', '300391', '300401', '300434', '300436', '300452', '300485', '300497', '300519', '300534', '300558', '300573', '300583', '300584', '300601', '300636', '300683', '300702', '300705', '300723', '300725', '300759', '300841', '300878', '300966', '301047', '301065', '301075', '301080', '301089', '301111', '301130', '301201', '301207', '301211', '301230', '301246', '301258', '301277', '301281', '301301', '301331', '301507', '301509', '301520', '600062', '600079', '600080', '600085', '600129', '600161', '600196', '600200', '600211', '600216', '600222', '600252', '600267', '600276', '600285', '600329', '600332', '600351', '600380', '600420', '600422', '600436', '600479', '600488', '600513', '600518', '600521', '600535', '600557', '600566', '600572', '600594', '600613', '600624', '600664', '600671', '600682', '600721', '600739', '600750', '600771', '600774', '600789', '600812', '600851', '600867', '600976', '600993', '601089', '601206', '603087', '603139', '603168', '603207', '603229', '603235', '603259', '603351', '603367', '603392', '603439', '603520', '603538', '603567', '603590', '603669', '603676', '603707', '603811', '603858', '603896', '603998', '605116', '605177', '605199', '605507', '688046', '688062', '688073', '688076', '688091', '688105', '688117', '688131', '688136', '688137', '688163', '688166', '688176', '688177', '688179', '688180', '688185', '688189', '688192', '688197', '688221', '688222', '688235', '688247', '688266', '688276', '688278', '688293', '688302', '688319', '688321', '688331', '688336', '688356', '688373', '688382', '688426', '688428', '688443', '688488', '688505', '688506', '688513', '688520', '688553', '688566', '688578', '688639', '688658', '688670', '688687', '688710', '688739', '688759', '688765', '688799', '920017', '920047', '920230', '920266', '920344', '920367', '920433', '920478', '920547', '920566', '920575', '920656', '920735', '920946']"
化学制药,880401,T040501,T0405,149,"['000153', '000513', '000566', '000597', '000739', '000756', '000766', '000788', '000813', '000908', '000915', '000919', '000931', '000952', '000953', '000963', '001367', '002001', '002019', '002020', '002099', '002102', '002262', '002294', '002332', '002365', '002370', '002393', '002399', '002422', '002437', '002562', '002653', '002675', '002755', '002773', '002793', '002817', '002826', '002898', '002900', '002923', '002940', '003020', '300006', '300016', '300086', '300110', '300111', '300158', '300194', '300199', '300233', '300254', '300267', '300363', '300381', '300401', '300434', '300436', '300452', '300497', '300558', '300573', '300583', '300584', '300636', '300702', '300705', '300723', '300725', '300759', '300966', '301065', '301075', '301089', '301130', '301211', '301246', '301258', '301277', '301281', '301301', '301507', '301509', '600062', '600079', '600196', '600200', '600216', '600267', '600276', '600380', '600420', '600488', '600513', '600521', '600624', '600664', '600774', '600789', '600812', '600851', '601089', '603168', '603207', '603229', '603235', '603259', '603351', '603367', '603520', '603538', '603669', '603676', '603811', '605116', '605177', '605507', '688073', '688091', '688131', '688166', '688176', '688179', '688189', '688197', '688222', '688247', '688321', '688356', '688373', '688505', '688506', '688513', '688553', '688566', '688578', '688639', '688658', '688799', '920017', '920367', '920478', '920547', '920566', '920656', '920735', '920946']"
生物制药,880402,T040502,T0405,80,"['000403', '000518', '000534', '000661', '002007', '002038', '002252', '002550', '002581', '002693', '002821', '002880', '300009', '300122', '300142', '300149', '300204', '300239', '300255', '300294', '300357', '300485', '300601', '300683', '300841', '301047', '301080', '301201', '301207', '301230', '301520', '600161', '600211', '600682', '600721', '600739', '600867', '601206', '603087', '603392', '603590', '603707', '688046', '688062', '688076', '688105', '688117', '688136', '688137', '688163', '688177', '688180', '688185', '688192', '688221', '688235', '688266', '688276', '688278', '688293', '688302', '688319', '688331', '688336', '688382', '688426', '688428', '688443', '688488', '688520', '688670', '688687', '688710', '688739', '688759', '688765', '920047', '920230', '920344', '920575']"
中成药,880403,T040503,T0405,69,"['000423', '000538', '000590', '000623', '000650', '000790', '000989', '000999', '002082', '002107', '002166', '002198', '002275', '002287', '002317', '002349', '002412', '002424', '002566', '002603', '002644', '002728', '002737', '002864', '002873', '002907', '300026', '300039', '300147', '300181', '300391', '300519', '300534', '300878', '301111', '301331', '600080', '600085', '600129', '600222', '600252', '600285', '600329', '600332', '600351', '600422', '600436', '600479', '600518', '600535', '600557', '600566', '600572', '600594', '600613', '600671', '600750', '600771', '600976', '600993', '603139', '603439', '603567', '603858', '603896', '603998', '605199', '920266', '920433']"
商业连锁,880406,T0501,T0501,103,"['000007', '000028', '000056', '000058', '000078', '000411', '000417', '000419', '000501', '000564', '000652', '000679', '000705', '000715', '000759', '000785', '000829', '000882', '000950', '001316', '002024', '002177', '002187', '002251', '002277', '002344', '002356', '002390', '002416', '002419', '002462', '002561', '002589', '002697', '002727', '002758', '002788', '002818', '002872', '002999', '300622', '300755', '300937', '301015', '301017', '301078', '301126', '301166', '301263', '301370', '301408', '301584', '600056', '600272', '600280', '600415', '600511', '600538', '600628', '600655', '600693', '600694', '600697', '600712', '600713', '600729', '600738', '600778', '600785', '600790', '600814', '600824', '600827', '600828', '600829', '600833', '600838', '600857', '600858', '600859', '600865', '600998', '601010', '601086', '601116', '601366', '601607', '601828', '601933', '603071', '603101', '603108', '603122', '603214', '603233', '603368', '603708', '603716', '603883', '603939', '605136', '605188', '605266']"
百货,880407,T050101,T0501,35,"['000417', '000419', '000501', '000564', '000679', '000715', '000785', '002187', '002277', '002419', '002561', '600280', '600628', '600655', '600693', '600694', '600697', '600712', '600729', '600738', '600778', '600785', '600814', '600824', '600828', '600838', '600857', '600858', '600859', '600865', '601010', '601086', '601366', '603101', '603214']"
超市连锁,880408,T050102,T0501,8,"['000759', '002251', '002697', '600827', '601116', '601933', '603708', '605188']"
电器连锁,880409,T050103,T0501,2,"['002024', '002416']"
医药商业,880410,T050104,T0501,37,"['000028', '000078', '000411', '000705', '000950', '002390', '002462', '002589', '002727', '002788', '002872', '300937', '301015', '301017', '301126', '301166', '301263', '301370', '301408', '301584', '600056', '600272', '600511', '600538', '600713', '600829', '600833', '600998', '601607', '603108', '603122', '603233', '603368', '603716', '603883', '603939', '605266']"
其他商业,880411,T050105,T0501,12,"['000007', '000056', '000829', '000882', '002177', '002356', '002818', '300622', '300755', '301078', '601828', '605136']"
商品城,880412,T050106,T0501,4,"['000058', '002344', '600415', '600790']"
批发业,880413,T050107,T0501,5,"['000652', '001316', '002758', '002999', '603071']"
商贸代理,880414,T0502,T0502,17,"['000151', '000626', '000701', '002072', '002091', '002485', '600058', '600128', '600250', '600278', '600287', '600608', '600710', '600725', '600753', '600981', '601061']"
传媒娱乐,880418,T0601,T0601,64,"['000156', '000665', '000719', '000793', '000802', '000892', '001330', '002181', '002238', '002292', '002343', '002739', '002905', '300027', '300133', '300148', '300182', '300251', '300291', '300364', '300413', '300426', '300528', '300654', '300770', '300788', '301025', '301052', '301231', '301262', '301551', '600037', '600088', '600229', '600373', '600551', '600637', '600640', '600715', '600757', '600825', '600831', '600959', '600977', '600996', '601019', '601098', '601595', '601801', '601811', '601858', '601900', '601921', '601928', '601929', '601949', '601999', '603096', '603103', '603230', '603721', '603999', '605577', '920021']"
出版业,880419,T060101,T0601,29,"['000719', '000793', '002181', '300148', '300364', '300654', '300788', '301025', '301052', '301231', '600229', '600373', '600551', '600757', '600825', '601019', '601098', '601801', '601811', '601858', '601900', '601921', '601928', '601949', '601999', '603096', '603230', '603999', '605577']"
影视音像,880420,T060102,T0601,35,"['000156', '000665', '000802', '000892', '001330', '002238', '002292', '002343', '002739', '002905', '300027', '300133', '300182', '300251', '300291', '300413', '300426', '300528', '300770', '301262', '301551', '600037', '600088', '600637', '600640', '600715', '600831', '600959', '600977', '600996', '601595', '601929', '603103', '603721', '920021']"
广告包装,880421,T0602,T0602,54,"['000607', '000659', '000812', '000917', '001279', '002027', '002117', '002191', '002228', '002229', '002243', '002291', '002374', '002400', '002599', '002701', '002712', '002752', '002787', '002799', '002831', '002836', '002846', '002878', '002951', '002969', '003003', '300058', '300071', '300280', '300501', '300612', '300781', '300805', '301062', '301102', '301223', '301296', '301355', '600076', '600210', '600358', '600880', '601515', '601968', '603022', '603058', '603429', '603499', '603687', '603729', '920075', '920274', '920392']"
文教休闲,880422,T0603,T0603,52,"['000526', '001222', '001300', '001368', '002093', '002103', '002301', '002348', '002575', '002607', '002659', '002678', '002858', '002862', '002899', '003032', '300081', '300192', '300329', '300338', '300359', '300492', '300651', '300662', '300688', '300703', '300795', '300860', '300994', '301011', '301101', '301169', '301287', '301313', '301335', '600158', '600455', '600636', '600661', '600662', '600679', '600730', '600818', '600826', '600861', '603307', '603466', '603899', '605080', '605098', '605099', '605299']"
酒店餐饮,880423,T0604,T0604,9,"['000428', '000721', '002186', '002306', '301073', '600258', '600754', '601007', '605108']"
旅游,880424,T0605,T0605,24,"['000430', '000524', '000558', '000610', '000796', '000888', '000978', '002033', '002059', '002159', '002627', '002707', '300144', '300859', '600054', '600138', '600576', '600593', '600706', '600749', '601888', '603099', '603136', '603199']"
旅游服务,880425,T060501,T0605,7,"['000524', '000610', '000796', '002159', '002707', '300859', '601888']"
旅游景点,880426,T060502,T0605,17,"['000430', '000558', '000888', '000978', '002033', '002059', '002627', '300144', '600054', '600138', '600576', '600593', '600706', '600749', '603099', '603136', '603199']"
航空,880430,T0701,T0701,52,"['000697', '000738', '000768', '002023', '002111', '002297', '002389', '002625', '002651', '002829', '002933', '002935', '002985', '003009', '300034', '300424', '300581', '300696', '300719', '300722', '300775', '300900', '300965', '301050', '301306', '301586', '600038', '600118', '600316', '600372', '600391', '600760', '600765', '600862', '600879', '600893', '603261', '605123', '688070', '688231', '688237', '688239', '688281', '688287', '688297', '688510', '688523', '688563', '688586', '688685', '920006', '920642']"
船舶,880431,T0702,T0702,11,"['300008', '300065', '300589', '300600', '300810', '600150', '600482', '600685', '600764', '601890', '603268']"
运输设备,880432,T0703,T0703,49,"['000008', '000039', '000925', '001324', '002367', '002480', '002689', '002774', '002972', '300011', '300351', '300594', '300669', '300789', '300851', '300906', '300923', '300931', '300960', '301016', '301048', '301056', '600243', '600495', '600528', '600835', '600894', '600967', '601766', '603082', '603111', '603321', '603356', '603488', '603500', '603680', '605001', '605286', '605298', '688009', '688015', '688187', '688285', '688367', '688459', '688485', '688569', '920027', '920541']"
通用机械,880437,T0704,T0704,154,"['000410', '000530', '000777', '000837', '001268', '001306', '001379', '002026', '002046', '002122', '002150', '002164', '002184', '002248', '002272', '002282', '002342', '002347', '002438', '002514', '002520', '002559', '002598', '002633', '002685', '002747', '002760', '002795', '002823', '002871', '002877', '002884', '002896', '002903', '002931', '002943', '003025', '300083', '300091', '300145', '300154', '300161', '300257', '300260', '300420', '300421', '300441', '300464', '300470', '300488', '300503', '300606', '300718', '300780', '300809', '300817', '300828', '300838', '300850', '300885', '300943', '300946', '300971', '300984', '300988', '300992', '301040', '301043', '301070', '301079', '301107', '301125', '301137', '301151', '301160', '301202', '301232', '301252', '301255', '301261', '301268', '301273', '301309', '301311', '301317', '301368', '301377', '301399', '301446', '301448', '301548', '301596', '301603', '301616', '600114', '600343', '600592', '601002', '601177', '601369', '601882', '603088', '603112', '603173', '603187', '603269', '603270', '603308', '603400', '603617', '603667', '603699', '603757', '603915', '605060', '605100', '605389', '688017', '688028', '688059', '688255', '688257', '688305', '688308', '688333', '688355', '688360', '688379', '688395', '688455', '688558', '688577', '688648', '688697', '920026', '920082', '920169', '920223', '920245', '920505', '920510', '920570', '920579', '920593', '920608', '920662', '920679', '920693', '920720', '920807', '920855', '920870', '920942', '920943']"
机床制造,880438,T070401,T0704,24,"['000410', '000837', '002122', '002248', '002520', '002559', '002685', '002903', '002943', '003025', '300083', '300161', '300441', '300809', '301603', '601882', '603088', '688305', '688558', '688577', '688648', '688697', '920855', '920870']"
机械基件,880439,T070402,T0704,130,"['000530', '000777', '001268', '001306', '001379', '002026', '002046', '002150', '002164', '002184', '002272', '002282', '002342', '002347', '002438', '002514', '002598', '002633', '002747', '002760', '002795', '002823', '002871', '002877', '002884', '002896', '002931', '300091', '300145', '300154', '300257', '300260', '300420', '300421', '300464', '300470', '300488', '300503', '300606', '300718', '300780', '300817', '300828', '300838', '300850', '300885', '300943', '300946', '300971', '300984', '300988', '300992', '301040', '301043', '301070', '301079', '301107', '301125', '301137', '301151', '301160', '301202', '301232', '301252', '301255', '301261', '301268', '301273', '301309', '301311', '301317', '301368', '301377', '301399', '301446', '301448', '301548', '301596', '301616', '600114', '600343', '600592', '601002', '601177', '601369', '603112', '603173', '603187', '603269', '603270', '603308', '603400', '603617', '603667', '603699', '603757', '603915', '605060', '605100', '605389', '688017', '688028', '688059', '688255', '688257', '688308', '688333', '688355', '688360', '688379', '688395', '688455', '920026', '920082', '920169', '920223', '920245', '920505', '920510', '920570', '920579', '920593', '920608', '920662', '920679', '920693', '920720', '920807', '920942', '920943']"
工业机械,880440,T0705,T0705,325,"['000519', '000551', '000570', '000816', '000852', '000856', '000880', '000988', '001223', '001225', '001256', '001277', '001288', '001332', '001336', '001395', '001400', '002006', '002008', '002021', '002073', '002196', '002204', '002209', '002255', '002265', '002278', '002337', '002353', '002366', '002430', '002444', '002483', '002490', '002523', '002529', '002530', '002534', '002564', '002595', '002611', '002613', '002630', '002639', '002645', '002686', '002690', '002691', '002698', '002730', '002757', '002779', '002786', '002816', '002833', '002837', '002890', '002957', '002960', '002975', '002979', '002997', '003036', '300022', '300024', '300084', '300092', '300095', '300097', '300103', '300126', '300151', '300157', '300159', '300173', '300193', '300195', '300210', '300220', '300227', '300228', '300263', '300276', '300278', '300281', '300293', '300307', '300316', '300334', '300382', '300400', '300402', '300410', '300411', '300415', '300450', '300457', '300461', '300471', '300472', '300480', '300486', '300489', '300490', '300499', '300509', '300512', '300521', '300527', '300540', '300545', '300549', '300607', '300619', '300724', '300747', '300751', '300756', '300757', '300776', '300802', '300812', '300818', '300823', '300833', '300836', '300837', '300853', '300865', '300875', '300879', '300902', '300922', '300950', '300990', '300998', '301013', '301018', '301021', '301022', '301028', '301029', '301053', '301083', '301105', '301112', '301128', '301138', '301158', '301186', '301196', '301199', '301200', '301260', '301272', '301312', '301325', '301338', '301353', '301357', '301360', '301392', '301468', '301512', '301519', '301533', '301559', '301568', '301598', '301601', '301633', '301662', '600184', '600202', '600215', '600232', '600262', '600302', '600320', '600330', '600355', '600421', '600435', '600444', '600499', '600501', '600545', '600579', '600582', '600783', '600817', '600843', '600855', '600860', '600980', '601038', '601606', '601608', '601717', '601798', '603011', '603012', '603025', '603029', '603032', '603036', '603076', '603081', '603090', '603095', '603131', '603135', '603159', '603169', '603203', '603273', '603277', '603282', '603283', '603289', '603325', '603331', '603337', '603339', '603361', '603391', '603396', '603611', '603638', '603656', '603666', '603698', '603789', '603800', '603855', '603895', '603901', '603912', '603956', '603966', '605186', '605259', '688001', '688003', '688022', '688025', '688071', '688084', '688090', '688092', '688097', '688113', '688121', '688125', '688128', '688147', '688162', '688165', '688170', '688188', '688211', '688215', '688218', '688251', '688290', '688306', '688312', '688328', '688329', '688376', '688377', '688378', '688383', '688392', '688400', '688420', '688433', '688448', '688499', '688516', '688518', '688529', '688531', '688543', '688551', '688556', '688557', '688559', '688570', '688573', '688596', '688623', '688627', '688630', '688633', '688638', '688646', '688700', '688726', '688755', '688777', '688789', '920014', '920061', '920080', '920101', '920112', '920158', '920260', '920284', '920368', '920425', '920455', '920475', '920522', '920553', '920578', '920689', '920703', '920717', '920781', '920810', '920856', '920895', '920931']"
化工机械,880441,T070501,T0705,13,"['000852', '002278', '002337', '002353', '002430', '002490', '002564', '002698', '300228', '600579', '601798', '603325', '920931']"
轻工机械,880442,T070502,T0705,7,"['001256', '002209', '002444', '002611', '300126', '300173', '300195']"
纺织机械,880443,T070504,T0705,11,"['002021', '002196', '003036', '300307', '600232', '600302', '600545', '600843', '603025', '603095', '603337']"
农用机械,880444,T070505,T0705,13,"['000570', '000816', '002779', '002890', '300022', '300159', '300879', '301533', '601038', '603029', '603789', '605259', '920895']"
